Mod:Item:MetaData, Localized Name
GalacticraftCore:tile.machineTiered:12, Electric Arc Furnace
GalacticraftCore:tile.aluminumWire:0, Aluminum Wire
GalacticraftCore:tile.aluminumWire:1, Heavy Aluminum Wire
GalacticraftCore:tile.glowstoneTorch, Glowstone Torch
GalacticraftCore:tile.fallenMeteor, Fallen Meteor
GalacticraftCore:tile.moonBlock:0, Copper Ore
GalacticraftCore:tile.moonBlock:1, Tin Ore
GalacticraftCore:tile.moonBlock:2, Cheese Ore
GalacticraftCore:tile.moonBlock:3, Moon Dirt
GalacticraftCore:tile.moonBlock:4, Moon Rock
GalacticraftCore:tile.moonBlock:5, Moon Turf
GalacticraftCore:tile.moonBlock:14, Moon Dungeon Brick
GalacticraftCore:tile.cheeseBlock, Block of Cheese
GalacticraftCore:tile.spinThruster, Spin Thruster
GalacticraftCore:tile.viewScreen, Display Screen
GalacticraftCore:tile.telemetry, Telemetry Unit
GalacticraftCore:tile.arclamp, Arc Lamp
GalacticraftCore:tile.treasureChest, Treasure Chest
GalacticraftCore:tile.tinStairs1, Tin Decoration Stairs
GalacticraftCore:tile.tinStairs2, Tin Decoration Stairs
GalacticraftCore:tile.moonStoneStairs, Moon Rock Stairs
GalacticraftCore:tile.moonBricksStairs, Moon Dungeon Brick Stairs
GalacticraftCore:tile.wallGC:0, Tin Decoration Wall
GalacticraftCore:tile.wallGC:1, Tin Decoration Wall
GalacticraftCore:tile.wallGC:2, Moon Rock Wall
GalacticraftCore:tile.wallGC:3, Moon Dungeon Brick Wall
GalacticraftCore:tile.wallGC:4, Mars Cobblestone Wall
GalacticraftCore:tile.wallGC:5, Mars Dungeon Brick Wall
GalacticraftCore:slabGCHalf:0, Tin Decoration Slab
GalacticraftCore:slabGCHalf:1, Tin Decoration Slab
GalacticraftCore:slabGCHalf:2, Moon Rock Slab
GalacticraftCore:slabGCHalf:3, Moon Dungeon Brick Slab
GalacticraftCore:slabGCHalf:4, Mars Cobblestone Slab
GalacticraftCore:slabGCHalf:5, Mars Dungeon Brick Slab
GalacticraftCore:slabGCDouble:0, tile.slabGCDouble.tinSlab.name
GalacticraftCore:slabGCDouble:1, tile.slabGCDouble.tinSlab.name
GalacticraftCore:slabGCDouble:2, tile.slabGCDouble.moonSlab.name
GalacticraftCore:slabGCDouble:3, tile.slabGCDouble.moonBricksSlab.name
GalacticraftCore:slabGCDouble:4, tile.slabGCDouble.marsSlab.name
GalacticraftCore:slabGCDouble:5, tile.slabGCDouble.marsBricksSlab.name
GalacticraftCore:tile.unlitTorch_Stone, Stone Torch
GalacticraftCore:tile.unlitTorchLit_Stone, Stone Torch
GalacticraftMars:tile.treasureT2, Tier 2 Treasure Chest
GalacticraftMars:tile.treasureT3, Tier 3 Treasure Chest
GalacticraftMars:tile.asteroidsBlock:0, Asteroid Rock
GalacticraftMars:tile.asteroidsBlock:1, Asteroid Rock
GalacticraftMars:tile.asteroidsBlock:2, Asteroid Rock
GalacticraftMars:tile.asteroidsBlock:3, Aluminum Ore
GalacticraftMars:tile.asteroidsBlock:4, Ilmenite Ore
GalacticraftMars:tile.asteroidsBlock:5, Iron Ore
GalacticraftMars:tile.walkway, Walkway
GalacticraftMars:tile.walkwayWire, Walkway
GalacticraftMars:tile.walkwayOxygenPipe, Walkway
GalacticraftMars:tile.beamReflector, Energy Beam Reflector
GalacticraftMars:tile.beamReceiver, Energy Beam Receiver
GalacticraftMars:tile.telepadShort, Short Range Telepad
GalacticraftMars:tile.telepadFake, tile.telepadFake.name
GalacticraftMars:tile.denseIce, Dense Ice
GalacticraftMars:tile.minerBase, Astro Miner Base
GalacticraftMars:tile.minerBaseFull, tile.minerBaseFull.name
GalacticraftMars:tile.sludge, Bacterial Sludge
GalacticraftMars:tile.mars:0, Copper Ore
GalacticraftMars:tile.mars:1, Tin Ore
GalacticraftMars:tile.mars:2, Desh Ore
GalacticraftMars:tile.mars:3, Iron Ore
GalacticraftMars:tile.mars:4, Mars Cobblestone
GalacticraftMars:tile.mars:5, Mars Surface Rock
GalacticraftMars:tile.mars:6, Mars Sub-Surface Rock
GalacticraftMars:tile.mars:7, Mars Dungeon Brick
GalacticraftMars:tile.mars:8, Block of Desh
GalacticraftMars:tile.mars:9, Mars Stone
GalacticraftMars:tile.cavernVines, Cavernous Vines
GalacticraftMars:tile.slimelingEgg:0, Red Slimeling Egg
GalacticraftMars:tile.slimelingEgg:1, Blue Slimeling Egg
GalacticraftMars:tile.slimelingEgg:2, Yellow Slimeling Egg
GalacticraftMars:tile.creeperEgg, Creeper Egg
GalacticraftMars:tile.marsMachine:0, Terraformer
GalacticraftMars:tile.marsMachine:4, Cryogenic Chamber
GalacticraftMars:tile.marsMachine:8, Launch Controller
GalacticraftMars:tile.marsMachineT2:0, Gas Liquefier
GalacticraftMars:tile.marsMachineT2:4, Methane Synthesizer
GalacticraftMars:tile.marsMachineT2:8, Water Electrolyzer
GalacticraftMars:tile.marsCobblestoneStairs, Mars Cobblestone Stairs
GalacticraftMars:tile.marsDungeonBricksStairs, Mars Dungeon Brick Stairs
GalacticraftMars:tile.hydrogenPipe, Hydrogen Pipe
immersiveintegration:extendablePost, Extendable Wooden Post
immersiveintegration:steelTrapdoor, Steel Trapdoor
immersiveintegration:steelDecoration:0, Coke Oven Wall
immersiveintegration:steelDecoration:1, Heated Coke Oven Wall
immersiveintegration:steelDecoration:2, Coke Oven Port
immersiveintegration:extendedPost, Wooden Post Extension
immersiveintegration:industrialCokeOven, Industrial Coke Oven
immersiveintegration:itemRobin, Item Robin
immersiveintegration:inductionCharger:0, LV Induction Charger
immersiveintegration:inductionCharger:1, MV Induction Charger
immersiveintegration:inductionCharger:2, HV Induction Charger
immersiveintegration:redstoneWireConnector, Redstone Wire Connector
immersiveintegration:meWireConnector, ME Wire Connector
immersiveintegration:meDenseWireConnector, ME Dense Wire Connector
immersiveintegration:meTransformer, ME Transformer
immersiveintegration:meDenseTransformer, ME Dense Transformer
immersiveintegration:aeDecoration:0, Fluix Wire Coil
immersiveintegration:aeDecoration:1, Dense Wire Coil
IronChest:BlockIronChest:0, Iron Chest
IronChest:BlockIronChest:1, Gold Chest
IronChest:BlockIronChest:2, Diamond Chest
IronChest:BlockIronChest:3, Copper Chest
IronChest:BlockIronChest:4, Silver Chest
IronChest:BlockIronChest:5, Crystal Chest
IronChest:BlockIronChest:6, Obsidian Chest
IronChest:BlockIronChest:7, DirtChest 9000!
JABBA:barrel, Better Barrel
ThaumicTinkerer:travelSlab:0, Paving Slab of Travel
ThaumicTinkerer:travelSlabFull:0, Paving Slab of Travel
ThaumicTinkerer:Levitational Locomotive Relay, Levitational Locomotive Relay
ThaumicTinkerer:interface, Transvector Interface
ThaumicTinkerer:fireFire, Ignis Imbued Fire
ThaumicTinkerer:animationTablet, Dynamism Tablet
ThaumicTinkerer:wardSlab:0, tile.wardSlab.name
ThaumicTinkerer:wardSlabFull:0, tile.wardSlab.name
ThaumicTinkerer:fireWater, Aqua Imbued Fire
ThaumicTinkerer:fireChaos, Perditio Imbued Fire
ThaumicTinkerer:repairer, Thaumic Restorer
ThaumicTinkerer:fireEarth, Terra Imbued Fire
ThaumicTinkerer:enchanter, Osmotic Enchanter
ThaumicTinkerer:gaseousLight, tile.gaseousLight.name
ThaumicTinkerer:platform, Ethereal Platform
ThaumicTinkerer:dislocator, Transvector Dislocator
ThaumicTinkerer:Levitational Locomotive, Levitational Locomotive
ThaumicTinkerer:bedrockPortal, Bedrock Portal
ThaumicTinkerer:nitorGas, tile.nitorGas.name
ThaumicTinkerer:darkQuartzSlab:0, Smokey Quartz Slab
ThaumicTinkerer:darkQuartzSlabFull:0, Smokey Quartz Slab
ThaumicTinkerer:darkQuartzStairs, Smokey Quartz Stairs
ThaumicTinkerer:infusedFarmland, tile.infusedFarmland.name
ThaumicTinkerer:darkQuartz:0, Block of Smokey Quartz
ThaumicTinkerer:darkQuartz:1, Chiseled Smokey Quartz Block
ThaumicTinkerer:darkQuartz:2, Pillar Smokey Quartz Block
ThaumicTinkerer:fireAir, Aer Imbued Fire
ThaumicTinkerer:gaseousShadow, tile.gaseousShadow.name
ThaumicTinkerer:magnet:0, Kinetic Attractor
ThaumicTinkerer:magnet:1, Corporeal Attractor
ThaumicTinkerer:spawner, Tablet of Necromancy
ThaumicTinkerer:funnel, Essentia Funnel
ThaumicTinkerer:fireOrder, Ordo Imbued Fire
ThaumicTinkerer:infusedGrainBlock, tile.infusedGrainBlock.name
ThaumicTinkerer:warpGate, Celestial Gateway
ThaumicTinkerer:travelStairs, Paving Stair of Travel
ThaumicTinkerer:forcefield, Forcefield
MagicBees:magicbees.enchantedEarth, Enchanted Earth
MagicBees:hive:0, Curious Hive
MagicBees:hive:1, Unusual Hive
MagicBees:hive:2, Resonating Hive
MagicBees:effectJar, Bee Collector's Jar
MagicBees:magicApiary, Magic Apiary
MagicBees:manaAuraProvider, Mana Apiary Booster
MagicBees:visAuraProvider, Vis Apiary Booster
Mariculture:highPressureWater, Pressurised Water
Mariculture:rocks:0, Coral Rock
Mariculture:rocks:1, Copper Ore
Mariculture:rocks:2, Bauxite Ore
Mariculture:rocks:3, Rutile Ore
Mariculture:rocks:4, Brick Construction Block
Mariculture:limestone:0, Limestone
Mariculture:limestone:1, Smooth Limestone
Mariculture:limestone:2, Limestone Brick
Mariculture:limestone:3, Limestone Small Brick
Mariculture:limestone:4, Limestone Thin Brick
Mariculture:limestone:5, Bordered Limestone
Mariculture:limestone:6, Chiseled Limestone
Mariculture:limestone:7, Limestone Pillar
Mariculture:limestone:10, Limestone Pedestal
Mariculture:metals:0, Block of Copper
Mariculture:metals:1, Block of Aluminium
Mariculture:metals:2, Block of Impure Titanium
Mariculture:metals:3, Block of Magnesium
Mariculture:metals:4, Block of Titanium
Mariculture:metals:5, Iron Construction Block
Mariculture:pearl_block:0, White Pearl Block
Mariculture:pearl_block:1, Green Pearl Block
Mariculture:pearl_block:2, Yellow Pearl Block
Mariculture:pearl_block:3, Orange Pearl Block
Mariculture:pearl_block:4, Red Pearl Block
Mariculture:pearl_block:5, Gold Pearl Block
Mariculture:pearl_block:6, Brown Pearl Block
Mariculture:pearl_block:7, Purple Pearl Block
Mariculture:pearl_block:8, Blue Pearl Block
Mariculture:pearl_block:9, Black Pearl Block
Mariculture:pearl_block:10, Pink Pearl Block
Mariculture:pearl_block:11, Silver Pearl Block
Mariculture:glass:0, Heat Resistant Glass
Mariculture:woods:0, Wooden Construction Block
Mariculture:woods:1, Polished Planks
Mariculture:woods:2, Polished Logs
Mariculture:transparent:0, Transparent Plastic
Mariculture:pearl_brick:0, White Pearl Brick
Mariculture:pearl_brick:1, Green Pearl Brick
Mariculture:pearl_brick:2, Yellow Pearl Brick
Mariculture:pearl_brick:3, Orange Pearl Brick
Mariculture:pearl_brick:4, Red Pearl Brick
Mariculture:pearl_brick:5, Gold Pearl Brick
Mariculture:pearl_brick:6, Brown Pearl Brick
Mariculture:pearl_brick:7, Purple Pearl Brick
Mariculture:pearl_brick:8, Blue Pearl Brick
Mariculture:pearl_brick:9, Black Pearl Brick
Mariculture:pearl_brick:10, Pink Pearl Brick
Mariculture:pearl_brick:11, Silver Pearl Brick
Mariculture:customStairs:0, Custom Stairs
Mariculture:customFence:0, Custom Fence
Mariculture:customGate:0, Custom Gate
Mariculture:customWall:0, Custom Wall
Mariculture:customWall:1, Custom Wall
Mariculture:fish_oil, Fish Oil
Mariculture:custard, Custard
Mariculture:gunpowder_molten, Exploding Concentrate
Mariculture:flux_molten, Electrified Goo
Mariculture:chlorophyll, Chlorophyll
Mariculture:lamps_on:0, White Neon Lamp
Mariculture:lamps_on:1, Green Neon Lamp
Mariculture:lamps_on:2, Yellow Neon Lamp
Mariculture:lamps_on:3, Orange Neon Lamp
Mariculture:lamps_on:4, Red Neon Lamp
Mariculture:lamps_on:5, Gold Neon Lamp
Mariculture:lamps_on:6, Brown Neon Lamp
Mariculture:lamps_on:7, Purple Neon Lamp
Mariculture:lamps_on:8, Blue Neon Lamp
Mariculture:lamps_on:9, Black Neon Lamp
Mariculture:lamps_on:10, Pink Neon Lamp
Mariculture:lamps_on:11, Silver Neon Lamp
NetherOres:tile.netherores.ore.0:0, Nether Coal Ore
NetherOres:tile.netherores.ore.0:1, Nether Diamond Ore
NetherOres:tile.netherores.ore.0:2, Nether Gold Ore
NetherOres:tile.netherores.ore.0:3, Nether Iron Ore
NetherOres:tile.netherores.ore.0:4, Nether Lapis Ore
NetherOres:tile.netherores.ore.0:5, Nether Redstone Ore
NetherOres:tile.netherores.ore.0:6, Nether Copper Ore
NetherOres:tile.netherores.ore.0:7, Nether Tin Ore
NetherOres:tile.netherores.ore.0:8, Nether Emerald Ore
NetherOres:tile.netherores.ore.0:9, Nether Silver Ore
NetherOres:tile.netherores.ore.0:10, Nether Lead Ore
NetherOres:tile.netherores.ore.0:11, Nether Uranium Ore
NetherOres:tile.netherores.ore.0:12, Nether Nikolite Ore
NetherOres:tile.netherores.ore.0:13, Nether Ruby Ore
NetherOres:tile.netherores.ore.0:14, Nether Peridot Ore
NetherOres:tile.netherores.ore.0:15, Nether Sapphire Ore
NetherOres:tile.netherores.ore.1:0, Nether Platinum Ore
NetherOres:tile.netherores.ore.1:1, Nether Ferrous Ore
NetherOres:tile.netherores.ore.1:2, Nether Pig Iron Ore
NetherOres:tile.netherores.ore.1:3, Nether Iridium Ore
NetherOres:tile.netherores.ore.1:4, Nether Osmium Ore
NetherOres:tile.netherores.ore.1:5, Nether Sulfur Ore
NetherOres:tile.netherores.ore.1:6, Nether Titanium Ore
NetherOres:tile.netherores.ore.1:7, Nether Mithril Ore
NetherOres:tile.netherores.ore.1:8, Nether Adamantium Ore
NetherOres:tile.netherores.ore.1:9, Nether Rutile Ore
NetherOres:tile.netherores.ore.1:10, Nether Tungsten Ore
NetherOres:tile.netherores.ore.1:11, Nether Amber Ore
NetherOres:tile.netherores.ore.1:12, Nether Tennantite Ore
NetherOres:tile.netherores.ore.1:13, Nether Salt Ore
NetherOres:tile.netherores.ore.1:14, Nether Saltpeter Ore
NetherOres:tile.netherores.ore.1:15, Nether Magnesium Ore
NetherOres:netherOresBlockHellfish, tile.netherores.hellfish.name
OpenBlocks:ladder, Jaded Ladder
OpenBlocks:guide, Building Guide
OpenBlocks:builder_guide, Enhanced Building Guide
OpenBlocks:elevator:0, Elevator
OpenBlocks:elevator:1, Elevator
OpenBlocks:elevator:2, Elevator
OpenBlocks:elevator:3, Elevator
OpenBlocks:elevator:4, Elevator
OpenBlocks:elevator:5, Elevator
OpenBlocks:elevator:6, Elevator
OpenBlocks:elevator:7, Elevator
OpenBlocks:elevator:8, Elevator
OpenBlocks:elevator:9, Elevator
OpenBlocks:elevator:10, Elevator
OpenBlocks:elevator:11, Elevator
OpenBlocks:elevator:12, Elevator
OpenBlocks:elevator:13, Elevator
OpenBlocks:elevator:14, Elevator
OpenBlocks:elevator:15, Elevator
OpenBlocks:elevator_rotating:0, Rotating Elevator
OpenBlocks:elevator_rotating:1, Rotating Elevator
OpenBlocks:elevator_rotating:2, Rotating Elevator
OpenBlocks:elevator_rotating:3, Rotating Elevator
OpenBlocks:elevator_rotating:4, Rotating Elevator
OpenBlocks:elevator_rotating:5, Rotating Elevator
OpenBlocks:elevator_rotating:6, Rotating Elevator
OpenBlocks:elevator_rotating:7, Rotating Elevator
OpenBlocks:elevator_rotating:8, Rotating Elevator
OpenBlocks:elevator_rotating:9, Rotating Elevator
OpenBlocks:elevator_rotating:10, Rotating Elevator
OpenBlocks:elevator_rotating:11, Rotating Elevator
OpenBlocks:elevator_rotating:12, Rotating Elevator
OpenBlocks:elevator_rotating:13, Rotating Elevator
OpenBlocks:elevator_rotating:14, Rotating Elevator
OpenBlocks:elevator_rotating:15, Rotating Elevator
OpenBlocks:heal, Healer
OpenBlocks:target, Target
OpenBlocks:grave, Grave
OpenBlocks:flag, Flag
OpenBlocks:tank, Tank
OpenBlocks:trophy, Trophy
OpenBlocks:beartrap, Bear Trap
OpenBlocks:sprinkler, Sprinkler
OpenBlocks:cannon, Item Cannon
OpenBlocks:vacuumhopper, Vacuum Hopper
OpenBlocks:sponge, Sponge
OpenBlocks:bigbutton, Big Button
OpenBlocks:imaginary:0, Magic Pencil
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:imaginary:1, Magic Crayon
OpenBlocks:fan, Fan
OpenBlocks:xpbottler, XP Bottler
OpenBlocks:village_highlighter, Village Highlighter
OpenBlocks:path, Path
OpenBlocks:autoanvil, Auto Anvil
OpenBlocks:autoenchantmenttable, Auto Enchantment Table
OpenBlocks:xpdrain, XP Drain
OpenBlocks:blockbreaker, Block Breaker
OpenBlocks:blockPlacer, Block Placer
OpenBlocks:itemDropper, Item Dropper
OpenBlocks:ropeladder, Rope Ladder
OpenBlocks:donationStation, Donation Station
OpenBlocks:paintmixer, Paint Mixer
OpenBlocks:canvas, Canvas
OpenBlocks:paintcan, Paint Can
OpenBlocks:canvasglass, Glass Canvas
OpenBlocks:projector, Height Map Projector
OpenBlocks:drawingtable, Drawing Table
OpenBlocks:sky:0, Sky Block
OpenBlocks:sky:1, Sky Block
OpenBlocks:xpshower, XP Shower
OpenBlocks:goldenegg, Golden Egg
OpenBlocks:scaffolding, Scaffolding
ProjectBlue:rednetAdaptor, Bundled Cable to Rednet Adaptor
rftools:machineFrame, Machine Frame
rftools:machineBase, Machine Base
rftools:rfMonitorBlock, RF Monitor
rftools:liquidMonitorBlock, Liquid Monitor
rftools:crafterBlock1, Crafter Tier 1
rftools:crafterBlock2, Crafter Tier 2
rftools:crafterBlock3, Crafter Tier 3
rftools:relayBlock, Power Relay
rftools:itemFilterBlock, Item Filter
rftools:dimletFilterBlock, Dimlet Filter
rftools:storageScannerBlock, Storage Scanner
rftools:machineInfuserBlock, Machine Infuser
rftools:environmentalControllerBlock, Environmental Controller
rftools:spawnerBlock, Spawner
rftools:matterBeamerBlock, Matter Beamer
rftools:volcanicCoreBlock, Volcanic Core
rftools:volcanicBlock, Volcanic Block
rftools:screenBlock, Screen
rftools:screenHitBlock, Screen
rftools:screenControllerBlock, Screen Controller
rftools:dimletResearcherBlock, Dimlet Researcher
rftools:dimletScramblerBlock, Dimlet Scrambler
rftools:dimensionEnscriberBlock, Dimension Enscriber
rftools:dimensionBuilderBlock, Dimension Builder
rftools:creativeDimensionBuilderBlock, Creative Dimension Builder
rftools:dimensionEditorBlock, Dimension Editor
rftools:dimensionMonitorBlock, Dimension Monitor
rftools:dimensionalShardBlock, Dimensional Shard Ore
rftools:dimensionalBlankBlock, Dimensional Blank Block
rftools:dimensionalBlock, Dimensional Block
rftools:dimensionalSmallBlocks, Dimensional Small Blocks
rftools:dimensionalCrossBlock, Dimensional Cross Block
rftools:dimensionalCross2Block, Dimensional Cross 2 Block
rftools:dimensionalPattern1Block, Dimensional Pattern 1 Block
rftools:dimensionalPattern2Block, Dimensional Pattern 2 Block
rftools:activityProbeBlock, Activity Probe
rftools:energyExtractorBlock, Energy Extractor
rftools:matterTransmitterBlock, Matter Transmitter
rftools:matterReceiverBlock, Matter Receiver
rftools:dialingDeviceBlock, Dialing Device
rftools:simpleDialerBlock, Simple Dialer
rftools:destinationAnalyzerBlock, Destination Analyzer
rftools:matterBoosterBlock, Matter Booster
rftools:endergenicBlock, Endergenic Generator
rftools:pearlInjectorBlock, Pearl Injector
rftools:enderMonitorBlock, Ender Monitor
rftools:sequencerBlock, Sequencer
rftools:timerBlock, Timer
rftools:counterBlock, Counter
rftools:redstoneTransmitterBlock, Redstone Transmitter
rftools:redstoneReceiverBlock, Redstone Receiver
rftools:shieldBlock, Shield Projector Tier 1
rftools:shieldBlock2, Shield Projector Tier 2
rftools:shieldBlock3, Shield Projector Tier 3
rftools:shieldBlock4, Shield Projector Tier 4
rftools:invisibleShieldBlock, Invisible Shield Block
rftools:noTickInvisibleShieldBlock, Invisible Shield Block
rftools:solidShieldBlock, Solid Shield Block
rftools:noTickolidShieldBlock, Solid Shield Block
rftools:shieldTemplateBlock:0, Shield Template
rftools:shieldTemplateBlock:1, Shield Template
rftools:shieldTemplateBlock:2, Shield Template
rftools:shieldTemplateBlock:3, Shield Template
rftools:dimletWorkbenchBlock, Dimlet Workbench
rftools:biomeAbsorberBlock, Biome Absorber
rftools:materialAbsorberBlock, Material Absorber
rftools:liquidAbsorberBlock, Liquid Absorber
rftools:timeAbsorberBlock, Time Absorber
rftools:proxyBlock, Proxy Block
rftools:spaceChamberBlock, Space Chamber Corner Block
rftools:spaceChamberControllerBlock, Space Chamber Controller Block
rftools:spaceProjectorBlock, Space Projector Block (WIP)
rftools:builderBlock, Builder Block
rftools:supportBlock, Support Block
rftools:blockProtectorBlock, Block Protector
rftools:modularStorageBlock, Modular Storage
rftools:remoteStorageBlock, Remote Storage
rftools:securityManagerBlock, Security Manager
StevesFactoryManager:BlockMachineManagerName, Machine Inventory Manager
StevesFactoryManager:BlockCableName, Inventory Cable
StevesFactoryManager:BlockCableRelayName:0, Inventory Relay
StevesFactoryManager:BlockCableRelayName:8, Advanced Inventory Relay
StevesFactoryManager:BlockCableOutputName, Redstone Emitter
StevesFactoryManager:BlockCableInputName, Redstone Receiver
StevesFactoryManager:BlockCableCreativeName, Creative Supplier
StevesFactoryManager:BlockCableIntakeName:0, Item Valve
StevesFactoryManager:BlockCableIntakeName:8, Rapid Item Valve
StevesFactoryManager:BlockCableBUDName, Block Detector
StevesFactoryManager:BlockCableBreakerName, Block Gate
StevesFactoryManager:BlockCableClusterName:0, Cable Cluster
StevesFactoryManager:BlockCableClusterName:8, Advanced Cable Cluster
StevesFactoryManager:BlockCableCamouflageName:0, Cable Camouflage
StevesFactoryManager:BlockCableCamouflageName:1, Double Sided Cable Camouflage
StevesFactoryManager:BlockCableCamouflageName:2, Transforming Cable Camouflage
StevesFactoryManager:BlockCableSignName, Sign Updater
minecraft:record_13, Music Disc
minecraft:record_cat, Music Disc
minecraft:record_blocks, Music Disc
minecraft:record_chirp, Music Disc
minecraft:record_far, Music Disc
minecraft:record_mall, Music Disc
minecraft:record_mellohi, Music Disc
minecraft:record_stal, Music Disc
minecraft:record_strad, Music Disc
minecraft:record_ward, Music Disc
minecraft:record_11, Music Disc
minecraft:record_wait, Music Disc
StevesAddons:cable_rf, RF Node
StevesAddons:cable_ae, Energistics Connector
StevesWorkshop:production_table, Unnamed Block, report to mod author.
StorageDrawers:fullDrawers1:0, Oak Drawer
StorageDrawers:fullDrawers1:1, Spruce Drawer
StorageDrawers:fullDrawers1:2, Birch Drawer
StorageDrawers:fullDrawers1:3, Jungle Drawer
StorageDrawers:fullDrawers1:4, Acacia Drawer
StorageDrawers:fullDrawers1:5, Dark Oak Drawer
StorageDrawers:fullDrawers2:0, Oak Drawers 1x2
StorageDrawers:fullDrawers2:1, Spruce Drawers 1x2
StorageDrawers:fullDrawers2:2, Birch Drawers 1x2
StorageDrawers:fullDrawers2:3, Jungle Drawers 1x2
StorageDrawers:fullDrawers2:4, Acacia Drawers 1x2
StorageDrawers:fullDrawers2:5, Dark Oak Drawers 1x2
StorageDrawers:fullDrawers4:0, Oak Drawers 2x2
StorageDrawers:fullDrawers4:1, Spruce Drawers 2x2
StorageDrawers:fullDrawers4:2, Birch Drawers 2x2
StorageDrawers:fullDrawers4:3, Jungle Drawers 2x2
StorageDrawers:fullDrawers4:4, Acacia Drawers 2x2
StorageDrawers:fullDrawers4:5, Dark Oak Drawers 2x2
StorageDrawers:halfDrawers2:0, Compact Oak Drawers 1x2
StorageDrawers:halfDrawers2:1, Compact Spruce Drawers 1x2
StorageDrawers:halfDrawers2:2, Compact Birch Drawers 1x2
StorageDrawers:halfDrawers2:3, Compact Jungle Drawers 1x2
StorageDrawers:halfDrawers2:4, Compact Acacia Drawers 1x2
StorageDrawers:halfDrawers2:5, Compact Dark Oak Drawers 1x2
StorageDrawers:halfDrawers4:0, Compact Oak Drawers 2x2
StorageDrawers:halfDrawers4:1, Compact Spruce Drawers 2x2
StorageDrawers:halfDrawers4:2, Compact Birch Drawers 2x2
StorageDrawers:halfDrawers4:3, Compact Jungle Drawers 2x2
StorageDrawers:halfDrawers4:4, Compact Acacia Drawers 2x2
StorageDrawers:halfDrawers4:5, Compact Dark Oak Drawers 2x2
StorageDrawers:compDrawers, Compacting Drawer
StorageDrawers:controller, Drawer Controller
StorageDrawers:controllerSlave, Controller Slave
StorageDrawers:trim:0, Oak Trim
StorageDrawers:trim:1, Spruce Trim
StorageDrawers:trim:2, Birch Trim
StorageDrawers:trim:3, Jungle Trim
StorageDrawers:trim:4, Acacia Trim
StorageDrawers:trim:5, Dark Oak Trim
thaumicenergistics:thaumicenergistics.block.essentia.provider, Essentia Provider
thaumicenergistics:thaumicenergistics.block.infusion.provider, Infusion Provider
thaumicenergistics:thaumicenergistics.block.gear.box, Iron Gear Box
thaumicenergistics:thaumicenergistics.block.golem.gear.box, Thaumium Gear Box
thaumicenergistics:thaumicenergistics.block.essentia.cell.workbench, Essentia Cell Workbench
thaumicenergistics:thaumicenergistics.block.arcane.assembler, Arcane Assembler
thaumicenergistics:thaumicenergistics.block.knowledge.inscriber, Knowledge Inscriber
thaumicenergistics:thaumicenergistics.block.essentia.vibration.chamber, Essentia Vibration Chamber
ThaumicExploration:autoSorter, tile.thaumicexploration:autoSorter.name
ThaumicExploration:trashJar, Oblivion Jar
ThaumicExploration:boundChest, tile.boundChest.name
ThaumicExploration:floatCandle:0, White Floating Candle
ThaumicExploration:floatCandle:1, Orange Floating Candle
ThaumicExploration:floatCandle:2, Magenta Floating Candle
ThaumicExploration:floatCandle:3, Light Blue Floating Candle
ThaumicExploration:floatCandle:4, Yellow Floating Candle
ThaumicExploration:floatCandle:5, Lime Floating Candle
ThaumicExploration:floatCandle:6, Pink Floating Candle
ThaumicExploration:floatCandle:7, Gray Floating Candle
ThaumicExploration:floatCandle:8, Light Gray Floating Candle
ThaumicExploration:floatCandle:9, Cyan Floating Candle
ThaumicExploration:floatCandle:10, Purple Floating Candle
ThaumicExploration:floatCandle:11, Blue Floating Candle
ThaumicExploration:floatCandle:12, Brown Floating Candle
ThaumicExploration:floatCandle:13, Green Floating Candle
ThaumicExploration:floatCandle:14, Red Floating Candle
ThaumicExploration:floatCandle:15, Black Floating Candle
ThaumicExploration:meltyIce, Ice
ThaumicExploration:boundJar, Bound Jar
ThaumicExploration:thinkTankJar, Think Tank
ThaumicExploration:everfullUrn, Everfull Urn
ThaumicExploration:everburnUrn, Everburn Urn
ThaumicExploration:soulBrazier, Soul Brazier
ThaumicExploration:crucibleSouls, Crucible of Souls
ThaumicExploration:replicator, Thaumic Replicator
ThermalDynamics:ThermalDynamics_0:0, Leadstone Fluxduct
ThermalDynamics:ThermalDynamics_0:1, Hardened Fluxduct
ThermalDynamics:ThermalDynamics_0:2, Redstone Energy Fluxduct
ThermalDynamics:ThermalDynamics_0:3, Redstone Energy Fluxduct (Empty)
ThermalDynamics:ThermalDynamics_0:4, Resonant Fluxduct
ThermalDynamics:ThermalDynamics_0:5, Resonant Fluxduct (Empty)
ThermalDynamics:ThermalDynamics_0:6, Cryo-Stabilized Fluxduct
